Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
131,Waingapu,ID,77.2,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
133,Puerto Del Rosario,ES,64.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
135,Maningrida,AU,81.43,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
136,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
137,Moerai,PF,79.75,overcast clouds,-22.4333,-151.3333,Le Manotel
140,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
143,Port Elizabeth,ZA,70.09,drizzle,-33.918,25.5701,39 On Nile Guest House
145,Capaci,IT,52.11,clear sky,38.1711,13.2393,Hotel Sirenetta
146,Odweyne,SO,62.51,overcast clouds,9.4092,45.064,Eng Hiirey House
149,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
150,Faya,SA,57.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
152,Bagotville,AU,71.62,overcast clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
153,Coihaique,CL,84.81,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
154,Pacific Grove,US,85.59,clear sky,36.6177,-121.9166,Lovers Point Inn
155,Sao Filipe,CV,77.43,broken clouds,14.8961,-24.4956,Hotel Xaguate
156,Richards Bay,ZA,73.22,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
158,Kapit,MY,72.16,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
159,Mar Del Plata,AR,64.42,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
160,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
162,Matay,EG,55.69,clear sky,28.419,30.7792,Nag Aespen
164,Mahebourg,MU,80.89,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
166,Susangerd,IR,50.02,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
168,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
169,Buin,CL,88.12,few clouds,-33.7333,-70.75,Paihuen
170,Kibondo,TZ,60.53,overcast clouds,-3.5864,30.7203,Pongezi Annex Guest House
172,Sambava,MG,76.41,overcast clouds,-14.2667,50.1667,Melrose
173,Mecca,SA,73.42,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
174,Charters Towers,AU,75.54,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
177,Cruz Alta,BR,71.58,light rain,-28.6386,-53.6064,Hotel Linassi
179,Dalbandin,PK,57.18,clear sky,28.8947,64.4101,Gidaan Guest House
180,Davila,PH,71.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
181,Meulaboh,ID,77.2,light rain,4.1363,96.1285,Kost Pria
184,Naze,JP,63.52,overcast clouds,28.3667,129.4833,Shishime Hotel
187,Kalmunai,LK,75.69,light rain,7.4167,81.8167,VS Villa
188,Barmer,IN,61.72,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
190,Matadi,CD,78.39,light rain,-5.8167,13.45,Hotel Vivi Palace
192,Saint-Pierre,RE,78.44,few clouds,-21.3393,55.4781,Lindsey Hôtel
193,Bubaque,GW,78.67,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
194,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
196,Praya,CV,73.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
197,Vao,NC,79.97,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
198,Sabang,ID,82.2,scattered clouds,5.8933,95.3214,Hotel Citra
201,Lumphat,KH,72.75,broken clouds,13.4878,106.9816,Lumphat Homestay
202,Gelemso,ET,60.08,clear sky,8.8167,40.5167,Colele kebeber
204,Mount Gambier,AU,71.51,broken clouds,-37.8333,140.7667,The Commodore
207,Russell,US,70.38,clear sky,32.3502,-85.1999,Macs
208,Fortuna,US,74.43,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
209,Auki,SB,78.24,overcast clouds,-8.7676,160.7034,Auki Motel
210,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
211,Jibuti,DJ,71.02,broken clouds,11.5,42.5,Orchid Main Camp Goubet
212,Ponta Delgada,PT,62.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
215,Matara,LK,74.8,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
217,Cabo Rojo,PR,78.73,broken clouds,18.0866,-67.1457,Hotel Perichi's
218,Bentiu,SS,78.31,clear sky,9.2333,29.8333,Mandela hôtel
219,Kavieng,PG,81.23,light rain,-2.5744,150.7967,Nusa Island Retreat
224,Impfondo,CG,76.84,few clouds,1.6381,18.0667,Auberge La Place de Jules
225,Saint-Philippe,RE,78.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
226,Port Talbot,GB,50.18,overcast clouds,51.5924,-3.7802,Best Western Aberavon Beach Hotel
227,Sola,VU,78.06,overcast clouds,-13.8833,167.55,Leumerus Bungalows
229,San Ignacio,BZ,89.74,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
231,Chicama,PE,70.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
232,Ahuimanu,US,80.46,few clouds,21.4447,-157.8378,Paradise Bay Resort
233,Flinders,AU,70.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
236,Jawhar,SO,73.56,overcast clouds,2.7809,45.5005,hantiwadaag village part one
237,North Bend,US,70.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
239,Vila Franca Do Campo,PT,62.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
241,Riyadh,SA,51.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
244,Agadir,MA,55.85,few clouds,30.4202,-9.5982,Iberostar Founty Beach
245,Twentynine Palms,US,80.46,few clouds,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
248,Baculin,PH,76.01,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
249,Hopelchen,MX,83.48,overcast clouds,19.7667,-89.85,Hotel Jaguar
250,Lata,PT,50.72,scattered clouds,40.1629,-8.3327,Casa Maquia
251,Hermiston,US,54.14,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
254,Cabo San Lucas,MX,85.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
255,Aden,YE,76.28,broken clouds,12.7794,45.0367,Sama Emirate Hotel
257,Tomatlan,MX,87.24,scattered clouds,19.9333,-105.25,El Salvial
258,Acopiara,BR,78.21,broken clouds,-6.0953,-39.4525,Cantinho do Ceu Hotel
262,Riberalta,BO,80.8,broken clouds,-10.9833,-66.1,Hotel Colonial
263,Lompoc,US,86.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
264,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
265,Ngunguru,NZ,69.01,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
268,Khorramshahr,IR,51.76,scattered clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
269,Hualmay,PE,73.9,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
272,Trincomalee,LK,78.69,moderate rain,8.5711,81.2335,Welcombe Hotel
274,Bonthe,SL,77.67,clear sky,7.5264,-12.505,Bonthe Holiday Village
277,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
278,Saint George,US,70.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
280,Kawalu,ID,72.59,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
282,Hervey Bay,AU,77.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
285,Buala,SB,80.96,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
287,Rincon,US,66.65,broken clouds,32.296,-81.2354,Days Inn Rincon
290,Praia Da Vitoria,PT,62.85,few clouds,38.7333,-27.0667,Hotel Branco I
293,Loikaw,MM,52.93,broken clouds,19.6742,97.2094,Myat Nan Taw Hotel
294,Soyo,AO,78.3,broken clouds,-6.1349,12.3689,Hotel Mpampa
296,Baiao,BR,77.27,light rain,-2.7906,-49.6717,Hotel Eurosono
298,High Rock,BS,75.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
