City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Evanston,US,42.0411,-87.6901,19.42,60,75,10.36,broken clouds
262,Riberalta,BO,-10.9833,-66.1,80.8,83,75,6.91,broken clouds
263,Lompoc,US,34.6391,-120.4579,86.77,22,0,13.8,clear sky
264,San Cristobal,VE,7.7669,-72.225,75.38,44,92,4.65,overcast clouds
265,Ngunguru,NZ,-35.6167,174.5,69.01,74,97,22.57,overcast clouds
266,Banepa,NP,27.6298,85.5214,43.12,93,40,0.0,mist
267,Sivaki,RU,52.6333,126.75,-8.64,90,99,7.67,overcast clouds
268,Khorramshahr,IR,30.4397,48.1664,51.76,82,28,0.0,scattered clouds
269,Hualmay,PE,-11.0964,-77.6139,73.9,72,45,9.46,scattered clouds
270,Talnakh,RU,69.4865,88.3972,-8.82,78,17,9.17,few clouds
271,Budureasa,RO,46.6667,22.5,27.01,69,2,6.4,clear sky
272,Trincomalee,LK,8.5711,81.2335,78.69,83,90,13.67,moderate rain
273,Roma,US,43.2128,-75.4557,30.72,74,100,14.0,overcast clouds
274,Bonthe,SL,7.5264,-12.505,77.67,86,8,9.78,clear sky
275,Dire,ML,12.2833,-10.9667,77.14,13,6,2.57,clear sky
276,Grandview,US,38.8858,-94.533,31.91,31,0,9.22,clear sky
277,Cabedelo,BR,-6.9811,-34.8339,83.07,76,41,8.46,scattered clouds
278,Saint George,US,37.1041,-113.5841,70.27,10,0,5.75,clear sky
279,Amapa,BR,1.0,-52.0,73.87,95,50,2.44,scattered clouds
280,Kawalu,ID,-7.3817,108.2082,72.59,92,100,1.61,overcast clouds
281,Egvekinot,RU,66.3167,-179.1667,-18.83,88,18,7.4,few clouds
282,Hervey Bay,AU,-25.2986,152.8535,77.04,58,34,20.15,scattered clouds
283,Deputatskiy,RU,69.3,139.9,-9.27,95,100,5.88,overcast clouds
284,Aginskoye,RU,51.1,114.53,-13.0,99,98,3.74,overcast clouds
285,Buala,SB,-8.145,159.5921,80.96,78,97,2.3,overcast clouds
286,Hofn,IS,64.2539,-15.2082,23.67,68,98,19.35,overcast clouds
287,Rincon,US,32.296,-81.2354,66.65,42,75,3.44,broken clouds
288,Korla,CN,41.7597,86.1469,27.9,50,100,5.1,overcast clouds
289,Sakakah,SA,29.9697,40.2064,45.97,39,0,4.18,clear sky
290,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,20,10.71,few clouds
291,Aykhal,RU,66.0,111.5,-8.27,88,93,4.16,overcast clouds
292,Warrensburg,US,38.7628,-93.7361,31.55,28,0,10.36,clear sky
293,Loikaw,MM,19.6742,97.2094,52.93,45,54,4.34,broken clouds
294,Soyo,AO,-6.1349,12.3689,78.3,89,54,5.82,broken clouds
295,Mantua,IT,45.1667,10.7833,40.75,67,5,2.48,clear sky
